title,price_gbp,price_inr,rating,in_stock,category_name,availability_raw
The New Drawing on the Right Side of the Brain,43.02,4538.610000000001,3,True,Art,In stock
History of Beauty,10.29,1085.5949999999998,4,True,Art,In stock
The Story of Art,41.14,4340.27,4,True,Art,In stock
The Art Book,32.34,3411.8700000000003,2,True,Art,In stock
Ways of Seeing,39.51,4168.304999999999,5,True,Art,In stock
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4532.28,4,True,Science,In stock
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,6051.48,5,True,Science,In stock
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4720.070000000001,4,True,Science,In stock
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,3961.5249999999996,1,True,Science,In stock
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,5898.504999999999,1,True,Science,In stock
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,2997.255,1,True,Science,In stock
The Origin of Species,10.01,1056.055,4,True,Science,In stock
The Grand Design,13.76,1451.68,3,True,Science,In stock
Peak: Secrets from the New Science of Expertise,16.28,1717.5400000000002,2,True,Science,In stock
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,1374.665,4,True,Science,In stock
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,6050.425,5,True,Science,In stock
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2725.0649999999996,2,True,Science,In stock
Seven Brief Lessons on Physics,30.6,3228.3,4,True,Science,In stock
The Selfish Gene,29.45,3106.975,1,True,Science,In stock
Unicorn Tracks,18.78,1981.2900000000002,3,True,Fantasy,In stock
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,2639.61,3,True,Fantasy,In stock
Princess Between Worlds (Wide-Awake Princess #5),13.34,1407.37,5,True,Fantasy,In stock
Masks and Shadows,56.4,5950.2,2,True,Fantasy,In stock
Crown of Midnight (Throne of Glass #2),43.29,4567.095,3,True,Fantasy,In stock
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2963.495,2,True,Fantasy,In stock
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,5525.035,1,True,Fantasy,In stock
Throne of Glass (Throne of Glass #1),35.07,3699.885,3,True,Fantasy,In stock
The Glittering Court (The Glittering Court #1),44.28,4671.54,1,True,Fantasy,In stock
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,4534.389999999999,1,True,Fantasy,In stock
The Star-Touched Queen,46.02,4855.110000000001,5,True,Fantasy,In stock
The Hidden Oracle (The Trials of Apollo #1),52.26,5513.429999999999,2,True,Fantasy,In stock
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4719.014999999999,4,True,Fantasy,In stock
Island of Dragons (Unwanteds #7),29.65,3128.075,1,True,Fantasy,In stock
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,3957.305,5,True,Fantasy,In stock
City of Glass (The Mortal Instruments #3),56.02,5910.110000000001,4,True,Fantasy,In stock
Searching for Meaning in Gailana,38.73,4086.015,1,True,Fantasy,In stock
The Star-Touched Queen,32.3,3407.6499999999996,5,True,Fantasy,In stock
A Shard of Ice (The Black Symphony Saga #1),56.63,5974.465,3,True,Fantasy,In stock
King's Folly (The Kinsman Chronicles #1),39.61,4178.855,5,True,Fantasy,In stock
Every Heart a Doorway (Every Heart A Doorway #1),12.16,1282.88,5,True,Fantasy,In stock
A Gathering of Shadows (Shades of Magic #2),44.81,4727.455,4,True,Fantasy,In stock
The Raven Boys (The Raven Cycle #1),57.74,6091.570000000001,4,True,Fantasy,In stock
The False Prince (The Ascendance Trilogy #1),56.0,5908.0,5,True,Fantasy,In stock
Tell the Wind and Fire,45.51,4801.304999999999,3,True,Fantasy,In stock
A Feast for Crows (A Song of Ice and Fire #4),17.21,1815.6550000000002,4,True,Fantasy,In stock
The Demonists (Demonist #1),52.11,5497.605,2,True,Fantasy,In stock
The Beast (Black Dagger Brotherhood #14),46.08,4861.44,5,True,Fantasy,In stock
Paper and Fire (The Great Library #2),49.45,5216.975,5,True,Fantasy,In stock
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,3336.9649999999997,4,True,Fantasy,In stock
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5143.125,5,True,Fantasy,In stock
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,1555.07,1,True,Fantasy,In stock
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,6186.52,4,True,Fantasy,In stock
Soldier (Talon #3),24.72,2607.96,2,True,Fantasy,In stock
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,5851.03,2,True,Fantasy,In stock
Heir to the Sky,44.07,4649.385,4,True,Fantasy,In stock
Eragon (The Inheritance Cycle #1),43.87,4628.285,3,True,Fantasy,In stock
Darkfever (Fever #1),56.02,5910.110000000001,1,True,Fantasy,In stock
Ash,22.06,2327.33,4,True,Fantasy,In stock
A Storm of Swords (A Song of Ice and Fire #3),31.22,3293.71,2,True,Fantasy,In stock
Vampire Girl (Vampire Girl #1),53.82,5678.01,2,True,Fantasy,In stock
The Silent Twin (Detective Jennifer Knight #3),36.25,3824.375,3,True,Fantasy,In stock
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,3099.5899999999997,1,True,Fantasy,In stock
Sister Sable (The Mad Queen #1),13.33,1406.315,3,True,Fantasy,In stock
Shadow Rites (Jane Yellowrock #10),21.72,2291.46,4,True,Fantasy,In stock
Origins (Alphas 0.5),28.99,3058.4449999999997,1,True,Fantasy,In stock
One Second (Seven #7),52.94,5585.17,2,True,Fantasy,In stock
Myriad (Prentor #1),58.75,6198.125,4,True,Fantasy,In stock
